test_date,address_full,lead_ppb,copper_ppb
2016-01-26 12:24:48,"618 EDMOUND ST,FLINT,48505",0,80
2016-01-26 12:24:33,"836 MARKHAM,FLINT,48507",0,80
2016-01-26 12:19:34,"1615 WOODSLEA DR,FLINT,48507",0,80
2016-01-25 12:58:59,"515 LETA AVE,FLINT,",0,80
2016-01-24 12:14:04,"3304 BUICK,FLINT,48505",0,80
2016-01-24 12:09:50,"511 E GENESEE ST,FLINT,48505",0,80
2016-01-24 12:09:44,"1943 ECKLEY AVE,FLINT,48503",0,80
2016-01-23 12:02:21,"3405 COMANCHE AVE,FLINT,48507",0,80
2016-01-23 12:02:12,"2837 COMANCHE AVENUE,FLINT,48507",0,80
2016-01-23 12:01:55,"2828 BERKLEY ST,FLINT,48504",0,80
2016-01-23 11:59:25,"3120 RASROCK,FLINT,48504",0,80
2016-01-22 12:57:17,"3119 COMANCHE AVE,FLINT,48507",0,80
2016-01-22 12:57:06,"820 GARLAND,FLINT,48503",0,80
2016-01-22 12:56:30,"2964 NATHAN AVE,FLINT,48506",0,80
2016-01-22 12:56:27,"3111 MARYHLAND AVE,FLINT,48506",0,80
2016-01-22 12:38:22,"2032 HILLS ST,FLINT,48503-2812",0,80
2016-01-22 12:36:10,"1717 OHIO AVE,FLINT,48506",0,80
2016-01-22 12:35:18,"716 AVON ST,FLINT,48503",0,80
2016-01-22 12:35:07,"3165 FINNEY CT,FLINT,48504",0,80
2016-01-22 12:34:32,"1423 BLACKBERRY LN,FLINT,48507",0,80
2016-01-21 16:32:46,"2901 HAMPSTEAD DR,FLINT,48506",0,80
2016-01-21 16:22:01,"3357 WINDWOOD DR,FLINT,48504",0,80
2016-01-21 16:21:18,"2924 WYOMING AVE,FLINT,48506",0,80
2016-01-21 16:13:37,"2307 CALUMET ST,FLINT,48503",0,80
2016-01-21 16:12:28,"316 WEST BUNDY AVE,FLINT,48505",0,80
2016-01-21 16:12:24,"4029 MILBOURNE AVE,FLINT,48504",0,80
2016-01-21 15:48:00,"710 AVON ST,FLINT,48503",0,80
